Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
33.7,62.4,63.6,Red,Cotton,10,43,26,Urea
33.3,56.6,53.1,Clayey,Millets,43,15,32,Urea
25.3,44.5,55.0,Sandy,Barley,39,23,21,14-35-14
22.8,63.6,61.1,Loamy,Sugarcane,14,28,8,Urea
26.7,68.1,50.8,Red,Sugarcane,17,6,11,DAP
32.2,83.9,45.4,Loamy,Cotton,12,30,24,Urea
36.3,48.3,52.6,Red,Millets,29,28,16,28-28
29.1,48.2,45.0,Black,Cotton,19,41,22,10-26-26
34.0,68.4,28.7,Sandy,Cotton,27,31,39,10-26-26
30.9,77.0,60.2,Clayey,Tobacco,31,35,39,10-26-26
29.6,38.9,63.8,Clayey,Tobacco,7,41,37,Urea
32.8,66.0,30.2,Clayey,Pulses,33,15,16,DAP
22.7,38.9,54.4,Loamy,Cotton,17,14,45,14-35-14
27.1,71.4,59.7,Clayey,Paddy,10,40,29,Urea
27.2,48.8,44.7,Red,Oil seeds,5,42,44,Urea
23.8,42.5,49.4,Clayey,Wheat,42,11,11,DAP
34.6,78.4,62.8,Clayey,Sugarcane,31,29,21,10-26-26
31.7,36.9,36.8,Red,Pulses,14,43,44,Urea
28.3,78.9,54.7,Red,Maize,8,22,35,Urea
27.4,74.7,38.4,Black,Maize,36,19,11,DAP
37.6,57.2,60.5,Loamy,Paddy,22,43,31,10-26-26
29.1,80.7,42.5,Sandy,Tobacco,36,28,38,10-26-26
34.7,38.3,55.5,Sandy,Oil seeds,30,38,13,DAP
24.8,78.8,33.6,Clayey,Maize,8,7,20,28-28
33.3,48.7,60.4,Sandy,Barley,37,45,30,10-26-26
22.5,53.6,50.5,Sandy,Ground Nuts,16,42,35,10-26-26
27.5,76.9,36.1,Clayey,Barley,10,6,23,28-28
35.7,74.0,34.2,Sandy,Cotton,19,18,19,17-17-17
28.6,36.0,58.6,Black,Ground Nuts,5,13,35,14-35-14
34.8,46.2,51.2,Loamy,Pulses,24,32,22,10-26-26
29.3,45.9,38.0,Red,Barley,38,30,44,10-26-26
22.1,85.0,66.6,Clayey,Sugarcane,28,43,40,10-26-26
26.8,40.4,27.7,Clayey,Paddy,22,25,45,10-26-26
32.5,82.6,53.0,Black,Paddy,17,38,14,DAP
34.9,75.1,50.8,Loamy,Maize,25,6,13,DAP
26.2,55.9,41.7,Red,Paddy,7,41,42,Urea
33.6,46.1,48.0,Loamy,Barley,35,37,27,10-26-26
35.5,78.8,32.8,Black,Cotton,11,13,35,14-35-14
34.2,44.2,54.2,Black,Oil seeds,26,19,10,DAP
33.9,50.4,58.9,Black,Tobacco,26,21,28,17-17-17
35.6,58.5,62.3,Black,Millets,42,44,42,20-20
36.2,60.0,62.3,Sandy,Millets,29,24,38,28-28
24.2,45.0,42.6,Sandy,Cotton,41,14,34,14-35-14
34.5,59.4,52.1,Black,Cotton,16,45,25,10-26-26
29.2,45.5,58.3,Sandy,Maize,41,36,15,10-26-26
31.8,66.7,42.3,Sandy,Cotton,35,5,29,14-35-14
25.2,53.7,25.6,Sandy,Oil seeds,25,17,38,Urea
33.7,46.3,62.7,Sandy,Ground Nuts,24,11,13,DAP
31.4,43.4,60.4,Red,Oil seeds,24,34,23,10-26-26
30.4,56.7,54.5,Clayey,Pulses,13,36,26,Urea
24.6,80.3,59.9,Black,Tobacco,6,19,19,Urea
33.7,64.5,32.3,Loamy,Tobacco,28,29,7,DAP
32.0,64.7,27.1,Black,Oil seeds,11,8,6,17-17-17
29.1,41.2,35.9,Sandy,Wheat,14,45,18,Urea
28.7,40.0,47.4,Sandy,Paddy,44,13,43,14-35-14
30.2,65.9,37.2,Red,Sugarcane,11,17,36,Urea
34.4,76.6,66.8,Clayey,Tobacco,27,23,31,DAP
29.9,45.4,65.1,Sandy,Oil seeds,26,5,20,Urea
35.4,68.5,31.4,Sandy,Sugarcane,10,9,37,14-35-14
32.3,57.8,67.0,Sandy,Paddy,21,8,34,14-35-14
36.0,77.6,40.5,Sandy,Cotton,25,12,32,14-35-14
22.2,41.9,52.8,Sandy,Maize,26,33,27,10-26-26
36.1,39.6,60.0,Clayey,Paddy,16,30,12,DAP
26.3,54.3,61.6,Red,Millets,31,12,15,DAP
23.7,80.6,45.8,Sandy,Cotton,41,16,33,17-17-17
31.8,78.1,62.8,Red,Barley,13,36,35,Urea
29.1,38.2,53.2,Sandy,Wheat,5,41,38,Urea
37.6,68.5,39.5,Clayey,Tobacco,38,11,44,14-35-14
33.6,59.1,53.5,Red,Ground Nuts,29,40,14,DAP
22.2,81.7,46.7,Clayey,Maize,35,15,36,Urea
25.9,83.5,27.2,Red,Barley,19,29,40,10-26-26
23.3,57.2,49.6,Red,Tobacco,10,33,36,Urea
37.7,72.3,25.8,Black,Sugarcane,30,7,31,14-35-14
22.0,39.5,51.0,Clayey,Oil seeds,44,24,45,17-17-17
32.5,57.8,39.7,Clayey,Tobacco,8,34,19,Urea
