N,P,K,temperature,humidity,ph,rainfall,label
12,64,20,25.43,45.48,5.73,147.07,Pigeonpeas
21,59,17,21.28,59.83,4.12,184.11,Pigeonpeas
29,65,12,25.89,47.33,4.99,134.04,Pigeonpeas
30,73,17,19.71,44.18,5.63,164.39,Pigeonpeas
17,72,25,31.78,47.52,5.65,138.8,Pigeonpeas
28,42,20,28.33,49.69,5.15,55.08,Mothbeans
20,52,18,31.25,47.06,8.85,30.23,Mothbeans
23,51,17,29.26,62.16,4.14,57.23,Mothbeans
6,40,24,26.75,44.98,6.56,76.01,Mothbeans
10,39,24,32.84,52.48,5.31,76.35,Mothbeans
30,53,17,28.08,52.08,7.2,68.61,Mothbeans
26,39,24,28.98,58.01,8.56,37.86,Mothbeans
20,43,15,29.07,70.78,4.59,50.81,Mothbeans
24,48,19,24.95,54.83,5.89,24.92,Mothbeans
28,55,20,28.77,60.72,7.07,62.05,Mothbeans
19,58,20,28.69,44.31,7.14,41.22,Mothbeans
17,41,16,33.51,62.52,9.1,36.53,Mothbeans
21,37,17,25.9,61.88,6.32,64.02,Mothbeans
24,66,15,31.35,61.23,5.63,63.29,Mothbeans
23,46,17,26.4,67.55,6.8,60.59,Mothbeans
16,41,23,24.83,50.29,6.84,52.54,Mothbeans
19,51,22,30.04,46.3,6.46,65.54,Mothbeans
26,37,21,23.25,53.53,9.08,39.83,Mothbeans
15,54,15,26.62,57.38,6.04,48.37,Mothbeans
25,51,20,27.35,55.79,6.65,56.69,Mothbeans
18,46,17,28.11,47.52,5.46,54.3,Mothbeans
22,54,18,29.22,57.06,7.33,41.29,Mothbeans
21,50,20,22.98,54.32,9.46,46.88,Mothbeans
16,50,20,31.18,44.39,7.68,58.29,Mothbeans
20,50,23,30.38,45.2,7.78,50.42,Mothbeans
21,48,19,31.18,52.61,5.46,46.48,Mothbeans
22,57,21,26.07,70.6,7.12,66.5,Mothbeans
20,52,22,31.25,60.6,7.85,47.42,Mothbeans
17,50,22,27.64,60.66,8.54,40.2,Mothbeans
15,46,20,26.89,62.67,7.31,51.67,Mothbeans
12,37,20,22.87,60.29,6.61,90.12,Mothbeans
34,46,19,30.69,65.12,4.83,29.76,Mothbeans
17,52,21,30.87,44.8,4.02,61.5,Mothbeans
16,31,20,30.18,52.35,6.25,49.29,Mothbeans
18,37,17,29.5,55.45,7.0,39.26,Mothbeans
19,30,20,31.77,42.88,6.1,55.15,Mothbeans
28,44,17,23.28,53.92,9.25,54.53,Mothbeans
20,50,19,26.17,58.96,7.07,51.41,Mothbeans
15,58,21,26.82,60.21,6.2,41.82,Mothbeans
16,33,21,23.62,44.6,4.31,50.17,Mothbeans
20,45,16,25.27,56.45,6.14,55.0,Mothbeans
15,49,23,29.67,50.31,7.11,48.31,Mothbeans
21,45,19,28.73,46.25,5.58,34.54,Mothbeans
11,38,20,25.97,56.8,6.84,27.58,Mothbeans
24,54,17,29.25,47.2,6.92,36.03,Mothbeans
10,44,19,27.21,44.91,6.32,54.43,Mothbeans
20,49,17,31.13,44.97,7.39,65.38,Mothbeans
23,46,18,30.79,43.24,5.64,46.43,Mothbeans
28,51,17,27.42,48.9,5.95,62.95,Mothbeans
12,60,22,30.93,49.96,6.62,34.0,Mothbeans
17,51,23,25.43,50.64,6.62,34.45,Mothbeans
24,42,19,27.07,47.67,6.79,48.61,Mothbeans
18,42,20,32.33,54.18,8.0,34.52,Mothbeans
21,39,15,26.35,61.54,7.94,54.12,Mothbeans
11,46,20,28.64,40.29,5.73,50.43,Mothbeans
24,30,19,28.56,59.15,7.63,58.19,Mothbeans
16,32,18,30.7,62.95,7.65,56.35,Mothbeans
23,43,19,32.37,46.6,8.74,47.34,Mothbeans
28,36,21,26.36,43.29,7.06,63.31,Mothbeans
15,36,19,27.98,57.04,7.94,50.49,Mothbeans
32,49,18,24.17,51.36,6.4,62.72,Mothbeans
23,38,20,29.88,63.9,7.87,60.33,Mothbeans
21,51,23,24.87,50.75,5.87,55.75,Mothbeans
28,43,12,27.17,59.59,7.45,56.34,Mothbeans
19,37,21,26.11,68.49,7.48,44.23,Mothbeans
17,47,19,30.99,54.5,5.92,73.89,Mothbeans
21,54,18,29.11,55.38,4.53,75.38,Mothbeans
28,44,16,29.07,53.81,7.23,53.5,Mothbeans
24,59,21,25.58,62.74,8.77,89.02,Mothbeans
14,49,13,29.58,49.36,9.11,41.9,Mothbeans
10,44,14,30.08,38.74,6.83,26.27,Mothbeans
19,61,21,26.04,52.98,6.82,56.87,Mothbeans
12,52,11,26.63,49.78,7.56,51.47,Mothbeans
12,40,20,28.0,49.15,6.22,59.55,Mothbeans
17,47,26,24.64,40.24,7.74,43.06,Mothbeans
19,41,19,32.2,58.81,7.83,34.21,Mothbeans
14,25,17,30.59,56.82,6.53,50.93,Mothbeans
16,49,22,24.16,55.3,7.92,46.22,Mothbeans
25,70,19,29.18,48.03,7.02,56.72,Mothbeans
22,39,20,31.86,56.34,7.95,48.36,Mothbeans
25,50,17,29.0,46.26,6.04,53.47,Mothbeans
22,38,23,29.63,48.27,4.95,49.46,Mothbeans
18,48,18,23.18,50.48,6.43,58.8,Mothbeans
16,61,14,31.48,51.63,7.83,52.16,Mothbeans
27,44,16,31.75,52.41,7.07,66.02,Mothbeans
14,52,18,27.87,53.71,5.0,41.85,Mothbeans
29,55,19,28.81,51.14,8.43,48.8,Mothbeans
22,57,17,32.1,42.49,8.76,46.73,Mothbeans
19,32,18,25.6,48.95,6.64,62.69,Mothbeans
22,50,16,26.0,65.79,5.92,71.07,Mothbeans
19,48,23,31.38,52.42,6.33,50.53,Mothbeans
23,55,20,29.75,64.67,7.26,54.94,Mothbeans
11,26,21,27.96,49.6,7.09,50.48,Mothbeans
27,48,17,30.68,51.68,7.43,45.47,Mothbeans
17,48,20,29.4,51.32,4.6,46.01,Mothbeans
25,45,19,30.67,48.22,4.95,49.27,Mothbeans
18,40,19,29.43,53.13,7.17,72.96,Mothbeans
18,50,18,26.08,49.11,6.23,55.51,Mothbeans
35,42,18,28.04,55.97,7.12,66.61,Mothbeans
6,28,18,30.94,42.24,3.5,58.05,Mothbeans
22,38,17,27.34,85.83,6.51,52.35,Mungbean
3,40,16,28.19,83.89,6.94,33.53,Mungbean
21,51,25,27.92,86.47,6.16,29.26,Mungbean
26,46,23,26.85,87.06,7.26,51.76,Mungbean
22,47,15,30.13,83.67,6.85,35.9,Mungbean
13,58,18,30.24,85.27,6.15,55.54,Mungbean
17,52,20,26.65,85.99,7.36,52.34,Mungbean
20,55,20,28.75,82.23,6.77,56.68,Mungbean
15,58,19,27.43,88.49,6.61,54.48,Mungbean
19,46,21,28.85,79.51,6.36,55.84,Mungbean
20,42,15,27.2,79.43,6.67,43.61,Mungbean
15,46,21,31.01,80.96,7.05,56.18,Mungbean
16,48,18,28.72,90.03,6.88,52.47,Mungbean
18,35,19,29.95,80.92,6.38,49.41,Mungbean
15,40,18,26.86,82.58,6.91,37.94,Mungbean
11,41,22,28.26,84.11,6.71,34.43,Mungbean
23,50,18,29.71,82.12,7.04,49.64,Mungbean
18,46,19,29.96,82.27,6.47,56.69,Mungbean
17,54,25,28.02,87.54,6.35,54.44,Mungbean
22,50,18,26.51,87.01,6.08,45.86,Mungbean
26,48,25,29.73,83.54,6.71,48.02,Mungbean
11,39,18,26.06,85.64,6.63,35.02,Mungbean
23,52,20,28.11,87.27,6.9,50.86,Mungbean
16,49,23,27.78,91.79,6.54,48.66,Mungbean
16,48,14,27.84,82.22,6.74,56.36,Mungbean
24,28,26,28.85,83.17,6.75,49.81,Mungbean
16,48,18,28.01,83.44,6.27,49.57,Mungbean
24,51,22,28.89,83.9,6.95,37.54,Mungbean
15,39,23,29.63,86.96,7.02,41.37,Mungbean
23,45,22,28.36,84.35,6.86,55.41,Mungbean
16,46,16,25.5,86.1,6.88,50.5,Mungbean
9,44,13,30.14,82.24,7.08,55.97,Mungbean
15,37,21,27.49,85.81,6.56,34.15,Mungbean
7,48,18,27.84,87.59,7.05,46.22,Mungbean
18,51,15,28.77,87.16,6.9,32.91,Mungbean
16,39,20,29.08,89.99,6.55,44.42,Mungbean
27,49,23,28.85,82.03,6.3,35.99,Mungbean
24,56,25,29.51,88.99,6.53,39.15,Mungbean
26,50,20,28.96,86.47,7.09,58.76,Mungbean
24,53,21,27.95,87.77,6.28,56.83,Mungbean
13,49,17,29.16,85.4,6.22,51.77,Mungbean
17,54,20,28.97,82.63,6.52,44.73,Mungbean
26,60,17,29.79,78.99,6.34,40.73,Mungbean
12,34,21,28.24,86.64,6.91,50.52,Mungbean
24,46,16,29.77,83.73,6.42,46.98,Mungbean
15,43,21,28.92,82.81,6.55,56.99,Mungbean
23,63,23,29.87,81.34,6.93,47.98,Mungbean
17,48,22,29.1,82.86,6.92,43.3,Mungbean
22,44,19,29.42,82.38,7.28,33.83,Mungbean
17,49,21,28.38,85.33,6.82,46.55,Mungbean
29,53,22,27.34,85.26,6.61,40.36,Mungbean
23,42,21,27.22,90.66,6.43,50.15,Mungbean
25,42,22,27.02,89.86,6.7,43.63,Mungbean
19,53,18,27.6,84.84,6.35,62.96,Mungbean
17,53,20,27.32,85.48,6.94,46.89,Mungbean
28,55,22,27.95,82.26,6.52,49.97,Mungbean
24,29,19,28.69,84.67,7.09,51.77,Mungbean
28,45,22,30.46,89.44,6.37,46.37,Mungbean
18,50,22,27.49,85.7,6.09,59.94,Mungbean
17,47,19,29.88,76.99,6.7,47.55,Mungbean
18,60,17,29.43,86.57,7.08,43.06,Mungbean
16,55,21,26.65,83.88,6.82,55.1,Mungbean
16,23,21,27.04,79.45,5.85,54.91,Mungbean
21,45,24,29.26,90.35,6.28,48.12,Mungbean
11,45,19,29.25,85.64,6.89,54.03,Mungbean
33,44,17,28.8,83.09,7.14,46.13,Mungbean
17,43,22,28.31,83.57,7.2,41.55,Mungbean
21,52,15,29.08,82.33,6.95,40.7,Mungbean
25,55,22,28.8,84.81,6.53,60.17,Mungbean
16,38,21,27.54,82.65,6.27,44.54,Mungbean
20,48,22,29.13,84.93,6.64,52.48,Mungbean
28,48,18,27.31,81.16,6.9,53.02,Mungbean
24,45,24,27.92,88.37,6.69,43.53,Mungbean
24,50,21,28.6,85.39,7.42,57.87,Mungbean
25,47,23,29.12,85.58,6.61,47.75,Mungbean
1,48,18,30.41,85.56,6.34,48.0,Mungbean
14,50,20,29.65,83.13,6.71,37.48,Mungbean
25,51,21,28.5,86.74,7.18,46.12,Mungbean
21,38,17,28.62,88.81,6.62,46.51,Mungbean
18,42,20,26.7,89.34,6.5,54.18,Mungbean
13,52,22,28.96,82.52,6.77,38.94,Mungbean
19,55,22,28.52,82.58,6.89,48.56,Mungbean
7,53,19,29.94,82.21,5.75,50.63,Mungbean
22,33,17,31.81,84.58,6.92,43.19,Mungbean
8,45,19,28.02,85.16,6.78,47.2,Mungbean
13,50,14,26.04,87.72,6.85,47.94,Mungbean
12,41,19,26.58,83.28,6.9,59.82,Mungbean
18,53,14,29.29,83.09,6.79,46.42,Mungbean
28,40,21,28.16,85.03,6.64,41.63,Mungbean
20,46,20,28.6,87.89,6.98,40.0,Mungbean
26,37,21,29.24,79.77,6.73,44.65,Mungbean
16,57,18,27.53,85.73,6.91,47.27,Mungbean
27,51,13,27.86,83.81,6.84,27.4,Mungbean
36,51,20,29.92,92.53,6.96,55.99,Mungbean
21,45,18,27.51,83.44,6.29,47.79,Mungbean
10,48,19,28.68,83.93,7.62,59.28,Mungbean
13,48,18,27.28,81.48,6.83,42.95,Mungbean
26,54,24,27.48,86.93,6.89,44.61,Mungbean
16,59,20,29.26,83.03,6.33,43.84,Mungbean
20,38,19,26.47,82.14,6.9,53.23,Mungbean
36,59,15,28.88,66.93,7.38,65.42,Blackgram
28,70,16,28.45,68.98,7.35,68.69,Blackgram
27,69,22,28.87,69.05,7.49,76.22,Blackgram
43,72,23,31.34,63.5,6.97,69.09,Blackgram
27,66,22,23.43,69.6,7.44,65.6,Blackgram
45,68,22,32.95,60.8,7.28,66.87,Blackgram
40,62,24,33.12,62.78,6.7,65.97,Blackgram
44,69,22,32.37,67.91,7.2,60.95,Blackgram
38,76,18,31.51,64.04,6.79,67.28,Blackgram
43,62,18,27.18,68.36,7.01,75.16,Blackgram
55,67,15,23.74,60.58,6.69,74.79,Blackgram
41,71,12,26.41,67.66,7.19,67.16,Blackgram
45,81,18,30.21,65.58,7.82,57.4,Blackgram
46,67,20,28.03,64.85,7.31,83.46,Blackgram
48,61,17,28.64,59.61,7.0,71.56,Blackgram
27,76,20,27.8,64.58,7.58,71.57,Blackgram
40,66,19,28.46,58.69,7.71,68.68,Blackgram
43,67,16,29.44,60.2,7.78,61.73,Blackgram
29,64,22,30.04,61.29,7.48,71.56,Blackgram
45,73,26,36.56,62.94,7.59,69.82,Blackgram
44,54,18,27.56,67.48,7.42,57.53,Blackgram
39,76,18,32.19,66.05,7.2,66.54,Blackgram
27,59,21,30.06,64.58,6.97,66.37,Blackgram
50,65,14,32.23,64.39,7.11,75.94,Blackgram
39,70,15,29.34,66.83,6.63,68.9,Blackgram
41,68,22,31.0,69.43,6.8,68.58,Blackgram
40,59,21,36.97,64.95,7.25,68.32,Blackgram
32,53,16,25.82,70.11,7.07,66.17,Blackgram
48,59,16,30.2,68.09,7.25,69.14,Blackgram
40,71,19,26.91,65.14,6.78,68.31,Blackgram
35,88,18,25.79,64.6,7.26,76.27,Blackgram
34,55,21,25.86,63.69,7.02,67.55,Blackgram
46,62,18,29.96,65.45,7.13,70.08,Blackgram
48,71,20,25.25,65.15,7.24,71.54,Blackgram
33,62,17,31.61,68.1,6.98,72.44,Blackgram
41,67,18,32.24,65.98,7.78,63.64,Blackgram
45,63,16,29.97,65.41,7.98,66.98,Blackgram
28,70,12,29.72,65.05,7.34,72.77,Blackgram
34,66,16,26.62,65.93,6.72,65.83,Blackgram
30,72,24,26.1,59.44,7.06,67.98,Blackgram
42,64,18,31.1,68.12,6.51,66.06,Blackgram
42,60,24,28.09,64.88,7.27,64.94,Blackgram
21,64,22,28.99,62.46,7.38,66.25,Blackgram
34,69,21,37.15,67.48,7.45,65.37,Blackgram
29,68,19,26.76,64.47,7.22,69.7,Blackgram
45,70,17,28.46,61.4,7.64,67.97,Blackgram
37,60,27,26.78,63.71,7.22,70.9,Blackgram
49,82,20,26.83,64.23,7.19,78.24,Blackgram
26,77,19,32.51,64.69,6.85,71.65,Blackgram
46,75,18,28.2,60.32,7.35,70.02,Blackgram
30,63,17,25.55,62.55,6.76,65.84,Blackgram
32,54,25,33.76,62.66,7.18,69.99,Blackgram
51,61,22,28.36,60.99,7.32,74.35,Blackgram
65,58,21,28.77,67.35,6.66,61.59,Blackgram
32,68,17,31.98,68.08,7.28,75.99,Blackgram
44,58,23,28.18,67.73,7.57,70.18,Blackgram
25,60,22,29.49,65.24,7.33,71.38,Blackgram
42,66,18,32.57,66.66,7.02,73.31,Blackgram
38,61,16,27.06,64.18,7.47,63.87,Blackgram
41,62,18,25.47,64.34,7.04,70.6,Blackgram
42,58,22,30.63,65.6,7.1,65.31,Blackgram
42,71,13,28.38,64.24,7.18,73.87,Blackgram
32,64,17,27.6,63.96,7.33,62.63,Blackgram
44,54,17,29.01,70.02,7.02,56.89,Blackgram
20,68,20,31.13,65.5,7.45,65.2,Blackgram
48,54,16,24.58,64.18,7.09,68.47,Blackgram
40,60,18,25.51,69.09,7.01,65.46,Blackgram
55,58,15,26.71,64.8,7.23,71.6,Blackgram
65,50,20,28.33,63.24,6.91,63.36,Blackgram
56,74,19,34.05,60.46,6.7,57.01,Blackgram
33,69,19,30.45,60.77,7.34,69.1,Blackgram
47,52,19,26.44,63.81,7.26,68.36,Blackgram
31,68,14,33.45,64.38,7.44,65.27,Blackgram
34,61,21,27.87,66.93,6.99,58.02,Blackgram
34,58,19,26.43,67.78,7.07,67.01,Blackgram
46,75,18,27.69,59.68,6.89,64.81,Blackgram
41,65,21,28.16,64.83,7.46,69.61,Blackgram
39,63,17,27.45,63.38,7.33,66.79,Blackgram
26,82,19,25.78,63.67,7.13,76.42,Blackgram
28,75,23,28.11,64.17,6.79,66.88,Blackgram
39,73,22,27.76,59.1,7.09,69.37,Blackgram
42,65,19,34.55,66.15,6.99,65.4,Blackgram
38,81,18,29.94,63.55,7.43,77.7,Blackgram
44,68,19,22.85,67.24,7.14,70.04,Blackgram
32,64,17,33.06,63.86,7.72,70.05,Blackgram
27,66,17,23.42,69.8,7.31,70.57,Blackgram
41,56,17,32.53,61.85,6.34,66.76,Blackgram
38,69,21,31.91,65.78,7.46,60.31,Blackgram
45,73,15,25.49,62.76,6.9,71.67,Blackgram
33,61,17,33.36,65.04,7.05,67.35,Blackgram
52,62,22,30.63,64.52,7.85,62.62,Blackgram
36,58,21,35.07,70.01,7.47,66.91,Blackgram
36,54,25,31.41,63.52,7.5,63.04,Blackgram
44,66,20,29.81,60.65,7.12,73.14,Blackgram
39,74,15,29.92,63.13,7.32,68.06,Blackgram
46,76,21,30.82,62.01,7.1,65.23,Blackgram
36,65,16,24.13,63.0,7.16,61.16,Blackgram
40,83,22,34.93,66.17,7.45,64.28,Blackgram
33,46,22,34.62,63.34,7.02,64.13,Blackgram
43,76,13,31.23,64.17,7.13,70.19,Blackgram
17,67,18,27.9,66.27,7.01,38.07,Lentil
16,75,19,26.81,70.98,7.42,46.26,Lentil
15,47,18,23.36,66.17,6.82,43.78,Lentil
8,60,20,30.51,64.46,7.06,51.41,Lentil
14,70,16,27.53,65.33,7.05,41.0,Lentil
23,84,15,23.31,65.61,7.29,42.34,Lentil
2,78,21,18.4,62.67,7.68,54.39,Lentil
24,66,19,24.04,68.75,6.46,40.87,Lentil
25,67,23,22.15,64.61,6.44,45.74,Lentil
10,64,14,26.93,67.31,6.03,53.7,Lentil
33,68,17,34.39,60.18,6.91,46.78,Lentil
27,70,17,21.17,63.6,6.4,45.99,Lentil
15,56,22,22.76,60.36,6.82,46.11,Lentil
8,70,15,30.49,66.63,6.7,41.23,Lentil
18,72,18,23.74,65.0,6.6,43.64,Lentil
6,75,19,21.79,71.45,6.94,39.48,Lentil
24,71,20,23.01,66.38,6.77,49.04,Lentil
7,64,24,21.82,62.69,6.68,38.41,Lentil
5,66,19,24.32,64.29,6.92,51.84,Lentil
17,63,18,26.53,69.74,6.59,46.29,Lentil
21,60,19,19.37,58.61,7.08,43.4,Lentil
20,67,16,24.34,60.48,7.6,37.56,Lentil
17,59,20,23.34,62.98,7.33,45.88,Lentil
22,60,14,24.88,63.68,7.21,45.22,Lentil
20,55,24,23.93,67.24,6.48,47.55,Lentil
11,71,17,24.6,67.24,6.28,41.59,Lentil
21,84,18,26.57,64.43,7.87,35.22,Lentil
19,54,11,25.54,65.29,6.76,45.06,Lentil
37,65,20,22.23,65.83,6.78,43.24,Lentil
29,77,19,16.44,63.54,8.25,44.32,Lentil
25,79,19,21.55,56.28,7.24,40.81,Lentil
20,58,18,24.62,65.74,6.34,52.88,Lentil
15,54,18,24.62,65.36,7.58,44.28,Lentil
18,59,21,25.15,63.33,5.95,54.37,Lentil
11,63,20,20.31,59.57,5.84,50.03,Lentil
15,91,16,21.27,62.82,7.02,42.88,Lentil
22,60,14,18.21,57.02,6.64,43.89,Lentil
15,77,22,23.33,58.52,6.62,42.1,Lentil
15,62,17,23.15,62.58,7.0,47.86,Lentil
13,78,16,18.84,66.13,6.49,47.63,Lentil
4,79,21,19.25,59.62,7.74,41.28,Lentil
13,49,17,23.7,67.3,6.2,36.58,Lentil
21,76,14,28.29,64.93,7.45,45.28,Lentil
3,66,22,21.37,63.44,6.81,28.3,Lentil
29,60,20,24.2,69.2,7.1,44.29,Lentil
13,74,13,26.76,60.95,7.53,46.67,Lentil
22,68,13,21.49,67.15,6.98,52.79,Lentil
21,60,16,24.86,56.7,7.74,48.35,Lentil
26,55,22,32.31,60.18,7.29,45.71,Lentil
9,71,21,22.4,68.88,6.07,36.73,Lentil
19,68,16,27.33,66.66,7.33,44.96,Lentil
22,64,25,21.66,72.17,6.92,37.45,Lentil
27,69,21,28.78,65.98,6.6,51.55,Lentil
19,73,12,26.06,62.56,7.73,49.44,Lentil
20,71,16,30.18,71.77,7.1,55.24,Lentil
15,61,19,26.02,63.42,7.17,47.54,Lentil
13,72,21,25.1,68.83,6.29,48.51,Lentil
11,59,17,21.2,62.88,6.79,50.72,Lentil
17,55,22,21.57,64.59,7.12,46.9,Lentil
25,71,16,32.12,65.48,6.83,51.48,Lentil
20,71,26,23.54,63.69,6.96,52.13,Lentil
9,52,17,18.78,63.31,7.15,40.36,Lentil
10,68,21,18.57,67.67,7.31,51.42,Lentil
26,85,17,24.88,63.34,6.9,54.9,Lentil
10,61,23,28.07,63.53,7.33,47.75,Lentil
28,68,22,33.75,66.89,6.92,50.03,Lentil
16,87,19,23.54,61.88,7.45,50.9,Lentil
16,72,14,25.15,66.38,7.75,41.08,Lentil
11,60,14,29.18,70.22,7.06,53.03,Lentil
19,67,18,23.41,59.38,7.03,45.46,Lentil
23,68,18,21.45,65.05,7.27,38.84,Lentil
19,69,16,22.44,65.61,6.33,47.8,Lentil
13,76,26,21.49,66.67,6.54,51.95,Lentil
11,71,16,23.78,61.19,7.31,40.68,Lentil
22,65,18,25.02,62.13,7.01,54.88,Lentil
14,77,23,21.64,59.71,7.05,42.42,Lentil
30,68,16,20.48,68.61,6.61,45.96,Lentil
24,64,18,24.44,67.19,7.2,44.38,Lentil
19,65,14,25.4,71.42,6.46,41.06,Lentil
13,73,20,23.95,61.59,6.95,36.31,Lentil
19,74,15,19.14,70.33,6.59,52.52,Lentil
18,66,20,21.41,65.26,6.71,37.78,Lentil
21,65,18,20.26,70.37,7.34,51.48,Lentil
17,54,24,24.29,62.18,7.11,52.7,Lentil
18,78,22,20.73,62.44,7.38,29.42,Lentil
18,56,17,23.45,63.55,6.62,39.12,Lentil
32,82,15,30.04,63.4,6.96,45.32,Lentil
15,75,19,22.83,60.23,6.45,35.85,Lentil
19,58,18,29.3,69.0,6.88,45.18,Lentil
30,72,18,19.51,66.18,7.31,41.91,Lentil
20,65,18,15.79,64.02,7.38,41.91,Lentil
19,61,20,23.74,61.51,7.57,51.27,Lentil
15,71,20,26.75,58.87,7.4,42.28,Lentil
16,89,19,23.15,57.08,7.59,37.63,Lentil
12,65,23,27.21,64.25,7.05,42.1,Lentil
19,68,21,27.89,66.53,6.72,50.15,Lentil
18,59,17,24.8,67.99,6.81,38.44,Lentil
19,68,19,27.72,68.37,6.6,42.0,Lentil
12,73,23,23.4,63.95,7.63,48.73,Lentil
21,58,21,21.25,60.83,6.73,42.19,Lentil
17,11,42,24.62,84.26,6.89,103.45,Pomegranate
24,18,40,21.34,93.74,5.78,110.54,Pomegranate
25,22,46,20.48,92.97,6.35,113.67,Pomegranate
18,17,43,20.57,85.86,6.14,110.6,Pomegranate
27,19,43,18.4,88.77,6.26,106.93,Pomegranate
19,22,38,22.15,89.96,5.94,106.93,Pomegranate
18,18,40,21.99,88.8,7.04,101.65,Pomegranate
14,32,36,18.42,92.3,5.36,106.32,Pomegranate
31,11,34,18.05,92.8,6.96,104.94,Pomegranate
23,25,45,21.18,83.2,5.99,105.37,Pomegranate
17,18,43,24.99,89.58,6.95,109.29,Pomegranate
19,23,40,26.94,85.78,6.14,106.87,Pomegranate
21,25,39,18.24,92.63,6.78,97.79,Pomegranate
18,11,38,19.54,92.53,6.46,101.07,Pomegranate
24,11,40,19.76,89.0,6.65,110.11,Pomegranate
27,18,40,20.71,90.65,6.62,107.01,Pomegranate
8,20,41,20.1,86.25,7.14,109.96,Pomegranate
17,13,37,25.06,90.51,6.12,110.05,Pomegranate
14,26,44,20.63,88.21,5.09,100.09,Pomegranate
10,19,39,18.44,89.26,6.65,110.14,Pomegranate
7,18,35,24.05,92.45,5.95,103.67,Pomegranate
16,7,41,21.12,93.01,5.85,104.4,Pomegranate
9,13,36,24.29,88.01,6.46,105.6,Pomegranate
11,18,41,18.78,92.53,5.98,105.09,Pomegranate
22,15,40,21.01,90.49,5.21,98.35,Pomegranate
22,24,37,21.19,90.98,6.75,97.36,Pomegranate
13,17,42,28.05,89.42,5.7,109.51,Pomegranate
26,19,37,24.19,92.09,5.89,109.41,Pomegranate
24,24,39,20.9,93.78,5.79,109.69,Pomegranate
10,24,39,24.97,91.57,5.79,114.62,Pomegranate
28,23,37,21.03,90.54,6.05,115.96,Pomegranate
19,5,41,20.93,89.88,6.22,111.54,Pomegranate
25,20,38,21.7,90.16,6.0,110.39,Pomegranate
21,26,43,20.09,92.56,5.92,110.98,Pomegranate
15,13,40,15.11,84.85,6.31,107.91,Pomegranate
16,11,37,22.78,91.85,6.39,113.28,Pomegranate
21,15,39,18.29,89.78,6.96,110.93,Pomegranate
27,17,44,21.32,94.51,6.39,111.04,Pomegranate
27,18,40,25.02,89.7,5.74,118.22,Pomegranate
16,19,43,20.28,87.08,6.53,98.53,Pomegranate
17,20,39,17.94,94.88,6.45,114.66,Pomegranate
17,14,40,21.26,86.57,7.13,104.39,Pomegranate
7,25,38,20.28,84.8,7.27,101.05,Pomegranate
19,23,41,21.65,85.0,6.0,108.44,Pomegranate
14,20,42,24.21,86.42,7.5,111.34,Pomegranate
18,24,47,18.2,89.42,5.21,108.46,Pomegranate
21,18,38,16.68,91.22,7.13,104.54,Pomegranate
21,11,41,20.82,87.81,6.02,105.53,Pomegranate
21,12,38,21.7,86.8,7.3,103.23,Pomegranate
14,14,45,23.18,87.29,6.95,108.5,Pomegranate
20,17,37,22.64,88.46,7.31,101.15,Pomegranate
28,18,40,23.88,88.21,6.83,93.96,Pomegranate
14,14,36,21.26,91.26,6.75,108.7,Pomegranate
15,20,40,24.14,92.43,6.42,103.01,Pomegranate
15,16,39,22.47,92.25,6.37,107.58,Pomegranate
19,16,37,17.41,88.01,6.64,103.99,Pomegranate
17,21,41,19.1,93.09,6.96,101.85,Pomegranate
14,24,39,16.25,85.9,6.28,101.68,Pomegranate
16,19,44,21.07,93.32,7.11,114.67,Pomegranate
20,9,41,24.42,89.86,7.27,111.8,Pomegranate
22,24,41,15.57,88.6,7.0,103.46,Pomegranate
17,13,45,26.0,87.45,6.47,104.1,Pomegranate
22,21,42,22.63,98.91,5.89,98.95,Pomegranate
16,11,35,19.3,87.33,5.92,110.09,Pomegranate
15,18,42,19.88,89.31,6.58,97.79,Pomegranate
4,20,41,26.96,90.57,6.81,106.52,Pomegranate
20,27,33,22.83,96.51,6.54,115.75,Pomegranate
15,18,40,16.26,86.6,5.85,111.61,Pomegranate
24,20,42,21.39,93.71,6.4,107.79,Pomegranate
17,22,38,24.24,86.7,5.85,110.94,Pomegranate
18,16,42,20.28,89.5,7.1,115.2,Pomegranate
28,17,43,19.43,87.38,5.22,115.86,Pomegranate
13,18,37,23.54,88.97,5.75,109.71,Pomegranate
10,14,33,18.24,90.64,5.42,100.09,Pomegranate
18,16,45,26.38,87.5,6.68,111.25,Pomegranate
15,11,39,21.37,88.79,6.62,103.75,Pomegranate
12,19,41,18.86,92.88,5.51,104.61,Pomegranate
17,15,38,26.48,87.55,7.62,109.69,Pomegranate
19,21,47,19.32,86.74,6.02,107.66,Pomegranate
8,19,45,22.18,89.22,6.09,111.99,Pomegranate
14,28,45,22.44,90.07,6.92,112.97,Pomegranate
14,16,36,22.82,92.1,5.73,105.22,Pomegranate
10,14,41,19.97,89.2,5.59,108.43,Pomegranate
18,15,39,22.25,87.66,5.66,116.53,Pomegranate
15,18,43,30.62,86.37,6.62,103.96,Pomegranate
15,15,36,21.7,85.68,6.87,107.78,Pomegranate
21,16,38,22.52,86.61,6.22,103.2,Pomegranate
13,8,44,20.08,93.59,6.93,101.07,Pomegranate
12,31,45,21.72,90.87,6.08,109.66,Pomegranate
14,8,36,21.85,86.71,6.37,102.13,Pomegranate
