N,P,K,temperature,humidity,ph,rainfall,soil_type,category,growth_duration_days,water_requirement,sunlight_hours,label
37,61,16,26.78,61.85,7.67,62.51,Loamy,Pulse,80,Low,7.2,Blackgram
47,75,21,30.77,64.19,6.62,79.66,Black,Pulse,76,Low,7.9,Blackgram
46,64,22,31.91,71.05,6.91,60.28,Black,Pulse,77,Low,7.6,Blackgram
40,65,13,31.18,71.9,7.29,71.65,Loamy,Pulse,82,Low,7.7,Blackgram
45,70,18,28.01,64.13,7.23,66.1,Black,Pulse,81,Low,7.8,Blackgram
44,75,19,26.73,63.79,7.12,56.99,Black,Pulse,85,Low,7.6,Blackgram
42,76,17,31.44,64.62,7.03,63.37,Clayey,Pulse,86,Low,7.3,Blackgram
44,56,22,32.63,65.34,7.01,70.4,Black,Pulse,89,Low,6.4,Blackgram
44,62,18,29.38,63.5,7.1,61.19,Clayey,Pulse,84,Low,6.4,Blackgram
43,66,15,30.51,59.55,7.12,59.46,Loamy,Pulse,81,Low,6.9,Blackgram
37,69,16,29.86,59.7,7.35,78.59,Black,Pulse,91,Low,7.6,Blackgram
44,57,23,31.94,63.31,7.59,66.47,Loamy,Pulse,78,Low,7.8,Blackgram
33,74,15,27.37,61.82,7.4,64.3,Clayey,Pulse,74,Low,7.1,Blackgram
39,60,15,35.28,61.99,6.97,65.8,Clayey,Pulse,78,Low,7.9,Blackgram
45,66,15,33.19,64.67,7.79,54.53,Clayey,Pulse,80,Low,8.7,Blackgram
37,66,19,28.6,63.91,6.96,64.24,Black,Pulse,84,Low,7.8,Blackgram
41,72,18,28.06,62.89,7.1,61.64,Clayey,Pulse,77,Low,7.2,Blackgram
52,51,18,34.31,65.43,7.4,68.6,Clayey,Pulse,77,Low,6.2,Blackgram
41,63,16,28.75,71.11,8.06,69.3,Black,Pulse,78,Low,6.8,Blackgram
42,78,18,24.05,67.35,7.49,58.48,Black,Pulse,80,Low,7.8,Blackgram
39,63,22,28.99,59.8,6.28,75.57,Black,Pulse,82,Low,7.6,Blackgram
37,64,15,28.92,57.58,6.81,66.13,Clayey,Pulse,82,Low,7.5,Blackgram
44,76,22,31.18,65.04,6.71,72.44,Clayey,Pulse,86,Low,7.7,Blackgram
51,58,15,32.14,65.93,7.63,67.91,Black,Pulse,76,Low,7.4,Blackgram
14,41,22,29.81,86.09,6.18,45.13,Alluvial,Pulse,70,Low,8.7,Mungbean
18,41,20,27.54,89.45,6.48,36.81,Loamy,Pulse,66,Low,8.0,Mungbean
18,39,23,29.5,84.92,7.11,53.3,Loamy,Pulse,71,Low,7.4,Mungbean
24,48,20,27.23,86.82,6.47,47.18,Alluvial,Pulse,80,Low,7.6,Mungbean
14,41,22,28.88,84.61,6.55,51.88,Alluvial,Pulse,71,Low,8.2,Mungbean
18,42,18,27.94,84.85,6.77,18.49,Loamy,Pulse,71,Low,7.8,Mungbean
27,41,20,30.74,81.06,6.82,41.58,Alluvial,Pulse,73,Low,7.5,Mungbean
18,60,22,30.15,86.48,6.22,51.16,Red,Pulse,79,Low,7.5,Mungbean
24,50,25,27.87,81.71,6.59,59.48,Red,Pulse,68,Low,6.8,Mungbean
21,44,20,29.92,83.34,6.14,64.36,Red,Pulse,71,Low,7.4,Mungbean
25,45,19,29.22,88.25,6.6,60.16,Alluvial,Pulse,66,Low,8.5,Mungbean
17,53,20,27.49,86.99,6.97,53.14,Alluvial,Pulse,71,Low,7.7,Mungbean
20,46,22,25.48,86.0,6.61,41.29,Loamy,Pulse,72,Low,7.9,Mungbean
6,43,17,29.3,82.58,6.64,60.34,Alluvial,Pulse,78,Low,8.5,Mungbean
19,49,19,28.21,86.23,6.52,59.94,Alluvial,Pulse,74,Low,8.4,Mungbean
26,52,15,29.17,87.55,6.97,39.09,Loamy,Pulse,72,Low,8.6,Mungbean
17,45,24,28.43,82.82,6.44,50.66,Alluvial,Pulse,70,Low,7.9,Mungbean
22,53,22,27.43,88.54,6.61,38.11,Loamy,Pulse,74,Low,8.9,Mungbean
21,47,24,26.35,81.14,6.22,50.98,Alluvial,Pulse,75,Low,8.9,Mungbean
21,44,20,28.68,79.98,7.51,52.16,Alluvial,Pulse,75,Low,8.4,Mungbean
23,46,18,29.4,86.16,6.46,59.35,Alluvial,Pulse,76,Low,8.4,Mungbean
26,47,20,29.72,82.83,6.72,49.0,Alluvial,Pulse,71,Low,9.4,Mungbean
15,40,23,29.57,81.92,6.88,59.74,Red,Pulse,74,Low,9.6,Mungbean
14,50,23,29.84,84.39,6.61,51.55,Red,Pulse,78,Low,8.4,Mungbean
25,41,19,27.09,83.84,7.0,48.86,Alluvial,Pulse,84,Low,8.1,Mungbean
21,47,18,28.41,88.38,6.73,41.65,Red,Pulse,71,Low,7.7,Mungbean
21,52,15,28.02,85.43,6.15,41.33,Loamy,Pulse,72,Low,7.5,Mungbean
21,46,18,29.14,90.17,7.19,32.62,Red,Pulse,77,Low,7.9,Mungbean
21,45,20,28.73,83.26,6.43,44.41,Loamy,Pulse,75,Low,8.4,Mungbean
24,44,20,29.94,88.5,6.68,46.23,Loamy,Pulse,75,Low,7.3,Mungbean
20,50,21,28.09,85.65,6.45,53.63,Loamy,Pulse,74,Low,7.8,Mungbean
19,46,18,29.49,83.81,7.18,59.72,Red,Pulse,71,Low,8.0,Mungbean
18,45,26,28.04,86.08,6.86,39.99,Alluvial,Pulse,71,Low,7.3,Mungbean
17,32,21,31.58,85.44,6.28,42.86,Alluvial,Pulse,73,Low,7.4,Mungbean
24,51,16,29.59,89.58,7.27,70.92,Red,Pulse,71,Low,9.7,Mungbean
19,44,20,27.63,86.2,6.3,46.09,Loamy,Pulse,79,Low,8.0,Mungbean
21,49,23,26.02,86.75,6.62,49.33,Red,Pulse,78,Low,7.3,Mungbean
16,37,18,30.5,84.64,6.3,44.11,Alluvial,Pulse,69,Low,7.3,Mungbean
22,41,23,28.39,85.26,6.62,54.18,Red,Pulse,77,Low,8.2,Mungbean
23,45,21,27.99,85.01,6.62,44.34,Red,Pulse,72,Low,8.3,Mungbean
26,52,16,30.43,84.05,6.88,40.75,Alluvial,Pulse,75,Low,8.2,Mungbean
15,50,24,28.24,89.08,6.64,54.8,Alluvial,Pulse,66,Low,9.5,Mungbean
26,45,14,28.93,80.67,6.83,51.29,Loamy,Pulse,71,Low,8.7,Mungbean
24,51,20,26.38,87.93,6.62,36.88,Loamy,Pulse,80,Low,9.3,Mungbean
20,57,20,27.93,83.11,7.19,41.76,Alluvial,Pulse,77,Low,7.7,Mungbean
19,52,18,27.89,88.4,7.18,53.16,Loamy,Pulse,72,Low,7.7,Mungbean
21,48,17,29.58,85.26,6.19,40.57,Alluvial,Pulse,73,Low,8.0,Mungbean
28,48,17,28.83,83.94,6.8,52.64,Red,Pulse,79,Low,8.0,Mungbean
27,51,17,31.81,85.98,6.45,61.22,Loamy,Pulse,82,Low,8.0,Mungbean
18,46,22,30.42,86.71,6.73,59.98,Alluvial,Pulse,73,Low,8.6,Mungbean
19,49,19,28.42,83.87,7.1,42.14,Red,Pulse,72,Low,9.3,Mungbean
24,35,18,25.78,82.15,5.76,46.9,Red,Pulse,70,Low,8.0,Mungbean
14,47,18,30.75,89.23,6.94,45.39,Alluvial,Pulse,82,Low,7.1,Mungbean
15,46,26,28.2,84.45,6.27,55.57,Alluvial,Pulse,78,Low,8.5,Mungbean
18,43,16,28.63,81.76,6.35,44.61,Red,Pulse,73,Low,7.7,Mungbean
22,47,19,28.77,82.03,6.73,49.2,Red,Pulse,69,Low,8.6,Mungbean
17,47,23,29.89,85.1,6.59,55.58,Alluvial,Pulse,77,Low,7.6,Mungbean
17,36,20,28.38,88.41,6.81,58.67,Alluvial,Pulse,72,Low,8.7,Mungbean
18,50,15,28.85,79.05,6.62,51.52,Red,Pulse,73,Low,7.4,Mungbean
24,46,18,28.56,92.91,7.05,57.3,Red,Pulse,76,Low,8.1,Mungbean
11,43,18,25.69,81.53,6.11,47.69,Alluvial,Pulse,78,Low,8.7,Mungbean
22,42,14,25.86,81.19,6.43,46.72,Alluvial,Pulse,71,Low,8.2,Mungbean
20,47,23,26.73,86.26,6.7,45.33,Red,Pulse,78,Low,8.5,Mungbean
17,46,20,28.09,86.76,6.78,62.66,Alluvial,Pulse,69,Low,7.9,Mungbean
17,50,15,29.02,83.11,6.48,36.43,Alluvial,Pulse,73,Low,8.7,Mungbean
20,50,24,28.9,83.32,6.84,43.65,Alluvial,Pulse,73,Low,7.1,Mungbean
24,45,20,26.95,86.31,6.47,46.87,Alluvial,Pulse,78,Low,8.5,Mungbean
20,38,28,31.12,87.17,6.47,47.09,Loamy,Pulse,72,Low,8.8,Mungbean
22,43,18,30.18,89.8,7.16,54.06,Loamy,Pulse,74,Low,6.1,Mungbean
22,46,20,28.58,81.02,6.87,53.06,Red,Pulse,77,Low,8.6,Mungbean
21,65,18,24.76,65.43,7.3,49.86,Loamy,Pulse,126,Low,8.3,Lentil
19,44,22,22.99,61.79,6.74,43.32,Clayey,Pulse,118,Low,6.1,Lentil
14,70,20,26.3,61.85,6.51,42.96,Loamy,Pulse,116,Low,7.9,Lentil
10,66,15,19.87,68.87,7.12,48.7,Alluvial,Pulse,120,Low,6.7,Lentil
17,81,18,26.56,65.03,6.16,33.73,Alluvial,Pulse,111,Low,7.6,Lentil
22,73,16,29.02,61.14,6.99,45.94,Alluvial,Pulse,114,Low,7.8,Lentil
16,59,19,23.38,78.51,7.17,43.54,Loamy,Pulse,108,Low,5.9,Lentil
14,68,23,27.64,65.92,6.77,47.61,Loamy,Pulse,112,Low,8.0,Lentil
18,67,12,23.95,68.35,6.47,41.5,Loamy,Pulse,119,Low,6.1,Lentil
23,64,17,21.35,66.51,7.88,50.69,Alluvial,Pulse,110,Low,7.7,Lentil
17,76,21,16.26,60.98,7.28,46.91,Clayey,Pulse,109,Low,6.6,Lentil
11,67,25,26.75,73.76,7.25,52.16,Clayey,Pulse,126,Low,7.2,Lentil
18,74,23,23.16,62.11,6.96,50.99,Alluvial,Pulse,119,Low,6.1,Lentil
26,64,18,21.97,75.79,7.0,40.89,Alluvial,Pulse,119,Low,7.5,Lentil
18,73,16,23.12,56.96,6.37,56.85,Alluvial,Pulse,124,Low,7.0,Lentil
25,67,18,24.66,64.5,6.81,52.86,Alluvial,Pulse,115,Low,7.4,Lentil
23,70,16,20.71,65.6,6.83,46.52,Clayey,Pulse,114,Low,8.6,Lentil
13,56,19,23.45,66.26,7.13,53.7,Loamy,Pulse,106,Low,6.7,Lentil
20,72,25,27.18,64.77,6.54,42.61,Loamy,Pulse,111,Low,7.4,Lentil
20,60,17,26.96,66.41,7.13,48.3,Clayey,Pulse,124,Low,7.1,Lentil
17,62,19,17.67,64.26,6.82,37.81,Loamy,Pulse,109,Low,7.5,Lentil
19,68,19,24.76,69.97,6.95,37.25,Clayey,Pulse,124,Low,7.2,Lentil
16,60,20,24.17,71.3,6.76,40.98,Loamy,Pulse,120,Low,7.6,Lentil
19,72,18,25.15,69.66,7.15,44.98,Clayey,Pulse,122,Low,5.6,Lentil
27,57,17,24.39,64.41,7.3,39.65,Loamy,Pulse,116,Low,6.7,Lentil
20,67,19,22.96,62.96,7.01,51.66,Alluvial,Pulse,111,Low,6.5,Lentil
21,67,21,21.96,57.88,6.69,41.4,Alluvial,Pulse,114,Low,6.6,Lentil
21,66,19,24.94,65.78,6.89,49.06,Loamy,Pulse,110,Low,7.8,Lentil
18,60,19,22.12,67.66,7.78,41.28,Clayey,Pulse,116,Low,5.9,Lentil
20,62,17,21.42,67.93,7.3,46.14,Loamy,Pulse,110,Low,8.0,Lentil
15,55,20,21.41,68.95,6.75,49.62,Loamy,Pulse,123,Low,6.3,Lentil
16,67,23,22.66,62.62,7.09,42.54,Alluvial,Pulse,115,Low,6.1,Lentil
27,59,18,24.41,72.65,6.37,57.9,Clayey,Pulse,119,Low,7.3,Lentil
15,71,16,28.05,61.12,6.85,42.67,Alluvial,Pulse,109,Low,7.4,Lentil
21,75,13,27.48,75.02,6.72,57.37,Loamy,Pulse,113,Low,6.2,Lentil
17,74,16,22.82,67.37,6.9,49.51,Alluvial,Pulse,116,Low,7.3,Lentil
17,69,16,28.11,62.46,7.35,44.6,Clayey,Pulse,116,Low,6.7,Lentil
14,57,15,23.59,65.85,7.3,43.33,Loamy,Pulse,109,Low,6.1,Lentil
20,76,22,26.49,67.55,7.58,47.99,Loamy,Pulse,118,Low,6.8,Lentil
13,63,18,24.67,72.71,6.93,53.07,Alluvial,Pulse,112,Low,6.8,Lentil
13,63,20,24.52,68.77,6.97,43.89,Clayey,Pulse,127,Low,6.9,Lentil
23,65,21,27.1,65.83,5.96,46.11,Clayey,Pulse,122,Low,7.3,Lentil
20,57,16,25.65,66.64,7.39,45.13,Clayey,Pulse,117,Low,7.0,Lentil
15,54,20,24.99,62.53,6.25,49.78,Clayey,Pulse,113,Low,7.3,Lentil
26,55,16,23.91,70.82,6.25,57.62,Clayey,Pulse,115,Low,6.9,Lentil
18,65,22,21.51,66.38,6.75,41.43,Loamy,Pulse,129,Low,7.3,Lentil
21,74,14,29.41,54.96,6.59,43.25,Loamy,Pulse,118,Low,7.1,Lentil
18,67,16,20.31,67.91,7.18,55.51,Clayey,Pulse,110,Low,7.4,Lentil
17,75,22,25.09,63.64,7.28,49.88,Clayey,Pulse,111,Low,6.2,Lentil
17,77,22,21.39,60.33,7.41,39.19,Loamy,Pulse,117,Low,6.6,Lentil
25,63,22,25.02,66.01,6.11,32.78,Loamy,Pulse,113,Low,7.1,Lentil
14,61,20,26.08,64.45,7.21,38.95,Clayey,Pulse,112,Low,8.0,Lentil
19,68,25,20.58,68.19,7.57,44.05,Clayey,Pulse,119,Low,6.4,Lentil
16,70,21,27.64,71.28,6.87,53.16,Loamy,Pulse,113,Low,7.5,Lentil
19,70,20,20.01,60.5,6.94,35.88,Alluvial,Pulse,119,Low,7.5,Lentil
20,61,23,30.2,65.59,7.1,47.21,Alluvial,Pulse,118,Low,6.9,Lentil
18,73,26,20.58,64.58,6.43,55.55,Alluvial,Pulse,111,Low,6.1,Lentil
21,78,20,25.07,66.64,7.47,40.75,Loamy,Pulse,114,Low,6.7,Lentil
14,66,22,26.09,67.58,6.96,49.14,Loamy,Pulse,110,Low,6.8,Lentil
19,69,19,24.11,63.49,8.16,51.44,Loamy,Pulse,117,Low,6.9,Lentil
17,67,19,19.23,58.72,6.65,47.24,Alluvial,Pulse,113,Low,7.9,Lentil
13,63,23,24.87,68.54,7.72,41.84,Clayey,Pulse,114,Low,6.8,Lentil
11,66,21,26.01,67.48,6.75,42.06,Loamy,Pulse,122,Low,6.7,Lentil
20,68,23,27.22,59.82,6.42,49.47,Loamy,Pulse,114,Low,6.7,Lentil
23,69,19,26.68,63.5,7.53,41.27,Loamy,Pulse,118,Low,7.9,Lentil
13,65,22,27.74,64.31,6.61,51.74,Alluvial,Pulse,121,Low,6.3,Lentil
14,69,20,23.66,67.72,6.62,33.31,Clayey,Pulse,112,Low,7.0,Lentil
17,61,13,23.06,68.59,7.4,53.13,Alluvial,Pulse,110,Low,6.3,Lentil
20,71,20,18.86,61.53,6.89,48.92,Alluvial,Pulse,119,Low,7.1,Lentil
20,68,21,25.38,65.26,6.79,46.49,Alluvial,Pulse,117,Low,7.2,Lentil
22,54,20,26.57,58.3,5.71,40.19,Sandy,Pulse,76,Low,9.3,Mothbean
16,46,18,26.93,58.66,7.37,50.81,Loamy,Pulse,72,Low,8.2,Mothbean
26,50,17,29.58,52.58,6.57,55.35,Loamy,Pulse,72,Low,8.8,Mothbean
21,45,22,32.11,48.47,5.47,30.98,Loamy,Pulse,74,Low,8.6,Mothbean
21,48,15,24.01,54.78,6.91,46.74,Loamy,Pulse,68,Low,9.3,Mothbean
26,49,17,28.1,44.8,7.65,51.82,Loamy,Pulse,68,Low,8.8,Mothbean
22,46,19,25.31,56.4,6.28,29.44,Loamy,Pulse,73,Low,9.6,Mothbean
19,56,21,28.75,52.23,6.75,48.37,Sandy,Pulse,73,Low,9.3,Mothbean
17,42,16,32.5,56.18,7.04,40.42,Sandy,Pulse,77,Low,8.9,Mothbean
21,43,20,27.07,48.41,7.39,35.62,Sandy,Pulse,77,Low,9.4,Mothbean
17,43,19,28.62,52.08,7.15,68.63,Sandy,Pulse,73,Low,8.0,Mothbean
24,56,21,25.61,52.26,5.91,57.43,Loamy,Pulse,69,Low,8.8,Mothbean
16,48,18,28.39,53.13,6.01,57.27,Sandy,Pulse,74,Low,8.4,Mothbean
29,50,19,31.11,64.05,6.68,54.47,Sandy,Pulse,71,Low,8.9,Mothbean
20,48,20,29.23,54.43,5.83,41.62,Sandy,Pulse,72,Low,8.8,Mothbean
25,42,18,30.1,51.2,7.17,49.6,Sandy,Pulse,75,Low,8.9,Mothbean
23,40,18,28.65,56.2,7.99,47.09,Sandy,Pulse,80,Low,8.6,Mothbean
26,52,17,28.68,52.69,7.3,48.77,Sandy,Pulse,73,Low,9.8,Mothbean
20,52,19,31.67,48.93,6.31,66.25,Sandy,Pulse,73,Low,10.0,Mothbean
24,47,14,27.96,53.61,7.73,66.88,Loamy,Pulse,72,Low,9.5,Mothbean
24,53,21,23.73,52.07,5.88,48.97,Loamy,Pulse,78,Low,9.2,Mothbean
25,49,16,22.45,53.89,6.63,41.23,Loamy,Pulse,68,Low,8.6,Mothbean
20,51,20,31.54,46.79,7.5,51.47,Loamy,Pulse,77,Low,8.7,Mothbean
25,49,17,27.97,51.56,7.19,39.2,Sandy,Pulse,74,Low,9.2,Mothbean
21,54,22,27.98,54.3,7.04,55.03,Sandy,Pulse,68,Low,8.8,Mothbean
15,54,19,27.57,58.38,7.14,39.71,Loamy,Pulse,74,Low,8.8,Mothbean
14,44,19,27.75,44.11,7.72,49.98,Loamy,Pulse,75,Low,9.2,Mothbean
17,50,18,26.03,56.44,7.99,58.25,Loamy,Pulse,78,Low,8.7,Mothbean
14,55,26,31.39,50.99,5.88,40.34,Sandy,Pulse,68,Low,8.9,Mothbean
27,47,20,31.03,50.58,8.43,70.92,Sandy,Pulse,74,Low,8.7,Mothbean
23,46,16,30.82,60.3,6.92,38.37,Loamy,Pulse,70,Low,9.1,Mothbean
19,46,23,29.61,61.27,6.01,47.57,Sandy,Pulse,77,Low,9.3,Mothbean
27,50,25,29.19,59.37,6.54,51.14,Loamy,Pulse,78,Low,10.0,Mothbean
23,47,24,23.18,44.47,7.35,51.14,Sandy,Pulse,77,Low,9.0,Mothbean
23,43,21,30.19,60.32,8.41,53.44,Sandy,Pulse,76,Low,8.1,Mothbean
18,47,23,26.66,57.78,6.8,49.23,Sandy,Pulse,75,Low,8.8,Mothbean
19,39,19,26.94,49.9,7.13,57.59,Loamy,Pulse,75,Low,9.6,Mothbean
23,46,18,28.69,56.44,7.92,62.91,Sandy,Pulse,72,Low,8.9,Mothbean
23,53,22,27.86,45.48,6.0,53.73,Sandy,Pulse,76,Low,8.3,Mothbean
21,51,16,30.43,50.73,7.81,45.67,Sandy,Pulse,71,Low,8.7,Mothbean
20,46,19,28.73,51.97,6.75,33.91,Sandy,Pulse,76,Low,8.9,Mothbean
27,43,14,29.36,55.08,5.99,35.7,Loamy,Pulse,80,Low,9.8,Mothbean
11,45,24,26.95,50.06,6.57,39.79,Loamy,Pulse,68,Low,9.6,Mothbean
13,49,22,24.81,47.45,7.77,56.33,Loamy,Pulse,72,Low,9.7,Mothbean
25,49,17,27.09,54.72,6.65,60.39,Sandy,Pulse,69,Low,8.1,Mothbean
21,45,18,24.11,53.12,6.76,57.53,Loamy,Pulse,75,Low,8.9,Mothbean
25,41,21,24.32,47.97,5.83,58.82,Loamy,Pulse,74,Low,9.0,Mothbean
16,46,17,28.84,47.05,7.86,34.24,Loamy,Pulse,71,Low,10.0,Mothbean
19,41,20,26.95,47.98,5.92,78.68,Loamy,Pulse,74,Low,7.8,Mothbean
26,51,17,25.95,57.04,6.6,31.74,Loamy,Pulse,81,Low,8.7,Mothbean
26,54,16,30.27,49.09,5.31,46.75,Loamy,Pulse,76,Low,8.7,Mothbean
19,53,20,26.14,57.21,6.96,25.78,Sandy,Pulse,76,Low,9.2,Mothbean
21,52,17,28.74,43.6,7.13,70.53,Sandy,Pulse,71,Low,8.5,Mothbean
18,48,16,28.93,58.08,7.23,33.32,Loamy,Pulse,78,Low,9.6,Mothbean
24,49,20,30.27,64.54,6.04,61.78,Loamy,Pulse,74,Low,8.9,Mothbean
14,46,17,26.98,46.41,6.44,46.94,Loamy,Pulse,75,Low,8.0,Mothbean
15,49,17,30.36,54.35,7.29,65.11,Sandy,Pulse,73,Low,8.7,Mothbean
24,50,19,31.06,51.73,6.83,51.21,Sandy,Pulse,71,Low,9.0,Mothbean
26,50,20,27.64,54.99,7.4,57.09,Sandy,Pulse,73,Low,9.2,Mothbean
22,42,20,23.25,55.9,7.33,58.48,Sandy,Pulse,73,Low,9.2,Mothbean
26,55,19,28.31,59.67,5.6,47.77,Loamy,Pulse,80,Low,9.6,Mothbean
22,40,19,26.7,54.99,6.15,40.74,Sandy,Pulse,67,Low,9.7,Mothbean
19,48,19,25.65,45.45,6.0,43.77,Sandy,Pulse,76,Low,8.5,Mothbean
27,53,22,27.74,62.09,6.63,50.69,Loamy,Pulse,75,Low,9.4,Mothbean
23,45,18,29.41,57.29,6.49,35.13,Loamy,Pulse,74,Low,9.4,Mothbean
28,42,18,27.14,61.13,6.77,41.93,Loamy,Pulse,77,Low,8.8,Mothbean
16,43,25,28.85,53.65,6.6,53.92,Sandy,Pulse,76,Low,9.2,Mothbean
21,52,20,25.85,49.33,5.22,71.27,Loamy,Pulse,78,Low,8.5,Mothbean
19,44,24,24.88,53.69,6.71,59.27,Loamy,Pulse,74,Low,7.9,Mothbean
19,43,20,31.16,42.56,6.16,45.47,Sandy,Pulse,73,Low,9.4,Mothbean
29,57,37,17.46,71.89,6.21,72.81,Alluvial,Pulse,90,Medium,7.1,Peas
28,57,39,16.81,69.29,6.71,52.5,Alluvial,Pulse,96,Medium,5.4,Peas
26,54,41,20.15,58.71,6.3,43.73,Alluvial,Pulse,90,Medium,6.7,Peas
37,55,44,18.17,65.82,5.94,67.75,Alluvial,Pulse,83,Medium,7.3,Peas
29,62,38,17.54,69.05,6.48,60.67,Alluvial,Pulse,91,Medium,5.9,Peas
23,62,42,17.13,76.33,6.39,78.23,Loamy,Pulse,90,Medium,5.9,Peas
39,60,39,18.45,65.98,6.83,41.09,Loamy,Pulse,85,Medium,7.1,Peas
28,56,34,20.7,73.95,6.42,60.95,Alluvial,Pulse,94,Medium,7.7,Peas
34,68,36,15.36,62.06,6.68,66.76,Alluvial,Pulse,89,Medium,7.0,Peas
36,45,37,18.64,65.66,6.18,75.19,Alluvial,Pulse,84,Medium,6.3,Peas
31,51,43,15.86,75.04,6.45,71.71,Alluvial,Pulse,93,Medium,6.1,Peas
19,57,40,18.11,66.87,6.33,85.08,Alluvial,Pulse,83,Medium,6.9,Peas
27,52,38,15.39,70.86,7.06,69.7,Loamy,Pulse,90,Medium,5.9,Peas
32,67,38,16.25,65.19,6.3,37.55,Alluvial,Pulse,91,Medium,6.0,Peas
21,59,35,16.32,75.33,5.94,49.67,Loamy,Pulse,91,Medium,7.2,Peas
22,57,42,12.88,71.99,6.85,61.88,Alluvial,Pulse,95,Medium,7.2,Peas
30,52,36,16.92,70.85,6.37,43.02,Alluvial,Pulse,95,Medium,6.6,Peas
28,60,46,11.4,70.17,5.93,69.99,Alluvial,Pulse,90,Medium,6.9,Peas
27,43,38,17.81,73.08,6.03,75.27,Loamy,Pulse,87,Medium,6.7,Peas
27,56,43,14.55,64.6,6.57,89.02,Alluvial,Pulse,86,Medium,7.7,Peas
40,54,38,15.62,67.66,5.94,64.24,Loamy,Pulse,96,Medium,6.1,Peas
28,44,41,17.53,68.32,6.41,62.07,Alluvial,Pulse,92,Medium,6.5,Peas
31,56,44,18.35,68.96,7.11,69.2,Alluvial,Pulse,95,Medium,6.9,Peas
20,62,40,16.9,69.41,6.36,67.27,Loamy,Pulse,87,Medium,7.3,Peas
29,52,36,17.54,68.94,6.66,54.73,Loamy,Pulse,82,Medium,6.9,Peas
37,48,46,17.57,67.96,6.34,51.15,Alluvial,Pulse,94,Medium,6.0,Peas
26,60,32,13.95,67.91,6.62,69.85,Alluvial,Pulse,88,Medium,8.0,Peas
28,53,36,17.25,71.07,6.98,50.11,Alluvial,Pulse,88,Medium,6.8,Peas
32,55,42,15.38,75.79,6.9,51.55,Loamy,Pulse,85,Medium,5.9,Peas
33,47,38,17.91,67.67,6.6,54.34,Loamy,Pulse,92,Medium,6.1,Peas
28,56,40,17.05,64.25,6.38,65.02,Alluvial,Pulse,83,Medium,6.2,Peas
31,47,44,19.54,61.77,7.04,63.56,Loamy,Pulse,91,Medium,6.2,Peas
34,57,36,14.67,60.7,6.58,70.72,Alluvial,Pulse,92,Medium,6.4,Peas
24,50,44,16.03,68.72,6.07,68.37,Alluvial,Pulse,87,Medium,7.1,Peas
33,52,39,15.9,60.9,6.16,66.98,Alluvial,Pulse,91,Medium,6.6,Peas
28,60,40,18.41,59.13,4.93,67.84,Loamy,Pulse,83,Medium,6.4,Peas
28,64,41,17.33,72.18,6.65,60.42,Loamy,Pulse,94,Medium,5.8,Peas
31,45,40,17.39,76.38,5.87,58.99,Loamy,Pulse,93,Medium,6.7,Peas
30,49,37,19.49,67.74,6.65,63.85,Loamy,Pulse,84,Medium,7.1,Peas
32,68,35,18.65,61.44,6.56,74.77,Alluvial,Pulse,80,Medium,6.4,Peas
27,50,41,19.24,67.33,6.58,66.14,Loamy,Pulse,90,Medium,5.8,Peas
35,56,41,15.39,65.7,6.43,49.66,Alluvial,Pulse,82,Medium,6.1,Peas
32,51,35,15.37,65.72,6.36,86.66,Loamy,Pulse,94,Medium,7.1,Peas
35,49,35,14.79,74.67,6.28,52.49,Loamy,Pulse,88,Medium,6.4,Peas
31,56,36,18.37,64.8,6.44,71.87,Loamy,Pulse,87,Medium,6.2,Peas
32,49,38,18.11,78.27,6.74,69.73,Alluvial,Pulse,92,Medium,5.9,Peas
30,54,41,17.23,69.9,6.38,65.59,Loamy,Pulse,84,Medium,6.3,Peas
36,56,39,20.79,61.2,6.06,82.13,Loamy,Pulse,90,Medium,6.4,Peas
24,57,42,14.81,67.3,6.37,67.56,Alluvial,Pulse,84,Medium,7.3,Peas
34,52,39,16.73,64.11,6.32,62.3,Alluvial,Pulse,97,Medium,7.1,Peas
34,57,35,16.92,72.85,6.0,71.37,Alluvial,Pulse,100,Medium,7.1,Peas
37,56,43,15.56,71.98,6.76,67.9,Alluvial,Pulse,95,Medium,6.2,Peas
29,55,35,17.45,59.41,6.92,65.47,Alluvial,Pulse,87,Medium,6.0,Peas
28,59,42,15.59,63.77,6.76,57.78,Alluvial,Pulse,90,Medium,6.6,Peas
31,60,34,13.18,65.16,7.22,85.22,Loamy,Pulse,98,Medium,6.4,Peas
21,40,37,16.6,74.5,6.85,67.27,Alluvial,Pulse,85,Medium,5.9,Peas
31,59,41,14.93,71.25,6.67,54.29,Loamy,Pulse,86,Medium,6.9,Peas
28,64,42,16.03,67.95,6.53,57.72,Alluvial,Pulse,85,Medium,6.9,Peas
34,58,46,15.92,76.37,6.14,54.87,Loamy,Pulse,82,Medium,6.2,Peas
27,58,40,14.61,66.04,6.35,47.24,Loamy,Pulse,85,Medium,6.0,Peas
37,56,42,14.0,73.97,7.02,45.02,Loamy,Pulse,86,Medium,6.8,Peas
33,50,38,15.81,68.55,6.98,57.29,Alluvial,Pulse,94,Medium,6.0,Peas
25,59,43,18.7,61.42,6.31,73.23,Alluvial,Pulse,90,Medium,5.9,Peas
32,50,47,20.09,71.02,7.04,65.65,Alluvial,Pulse,93,Medium,7.4,Peas
31,53,33,16.83,72.12,6.88,70.04,Alluvial,Pulse,87,Medium,5.3,Peas
