Crop,Season,State,Area_Acres,Rainfall_mm,Temperature_C,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Yield_Quintals_Per_Acre
Banana,Kharif,Tamil Nadu,21.5,1630.7,29.0,6.62,38.9,76.5,72.2,398.52
Banana,Rabi,Maharashtra,5.1,1595.3,18.1,7.32,150.2,84.0,78.8,343.58
Banana,Kharif,Gujarat,11.6,1864.2,21.3,6.14,79.3,31.1,32.1,180.62
Banana,Kharif,Tamil Nadu,12.2,1286.0,26.9,6.16,67.5,69.2,21.2,459.41
Banana,Rabi,Andhra Pradesh,12.0,1571.8,30.4,7.69,59.4,45.5,88.9,306.1
Banana,Rabi,Haryana,23.5,1085.0,18.2,7.16,117.4,44.7,54.2,310.38
Banana,Kharif,Haryana,10.5,1517.4,35.6,7.37,146.0,27.7,42.3,242.85
Banana,Whole Year,Maharashtra,21.3,1133.7,22.2,6.36,94.9,72.4,72.4,522.16
Banana,Rabi,Madhya Pradesh,9.5,1480.0,35.1,8.16,96.5,26.1,49.1,201.08
Banana,Rabi,West Bengal,6.5,1844.0,18.5,7.36,137.9,52.4,17.0,175.89
Banana,Whole Year,Gujarat,8.8,999.6,29.2,7.43,115.9,54.0,51.9,421.7
Banana,Whole Year,Karnataka,12.9,1266.3,27.8,7.59,100.3,16.3,72.3,444.57
Banana,Rabi,Haryana,11.8,1725.8,26.0,5.12,53.0,64.5,73.5,308.28
Banana,Rabi,Uttar Pradesh,11.3,1012.4,25.0,7.44,104.0,51.8,56.5,372.26
Banana,Rabi,West Bengal,14.5,806.3,19.0,5.84,106.8,43.3,65.7,313.78
Banana,Rabi,Karnataka,2.5,1379.4,20.3,6.17,135.2,58.8,72.4,488.2
Banana,Kharif,Andhra Pradesh,11.3,1909.4,25.4,5.18,61.7,32.6,38.4,159.05
Banana,Rabi,Haryana,3.7,824.1,27.7,5.12,115.5,46.7,53.6,396.29
Banana,Whole Year,Punjab,12.3,629.4,23.7,6.83,71.9,22.3,51.6,221.88
Banana,Rabi,Maharashtra,12.9,1671.1,30.0,5.53,68.9,87.7,30.1,344.94
Banana,Whole Year,Haryana,6.1,950.0,23.4,6.84,134.6,61.8,86.8,533.63
Banana,Kharif,Gujarat,15.2,960.8,28.2,6.7,85.5,41.0,20.7,380.19
Banana,Rabi,Kerala,11.4,1312.7,21.6,6.29,111.2,49.0,72.3,449.4
Banana,Whole Year,Punjab,17.9,1738.8,28.4,5.68,155.1,70.7,50.0,576.31
Banana,Whole Year,Kerala,21.5,1797.0,34.8,7.33,37.8,30.0,49.7,116.52
Banana,Rabi,Madhya Pradesh,21.3,1141.5,33.5,7.92,112.4,78.4,35.0,350.11
Banana,Rabi,Uttar Pradesh,17.5,911.7,22.3,5.48,33.6,74.8,38.3,235.6
Wheat,Rabi,Andhra Pradesh,16.5,351.5,20.9,5.44,63.6,75.3,64.4,12.09
Wheat,Whole Year,Punjab,12.7,339.2,33.5,5.27,108.2,80.0,82.5,7.75
Wheat,Whole Year,Tamil Nadu,16.8,389.6,35.0,7.32,48.3,23.4,70.1,8.51
Wheat,Whole Year,Kerala,20.9,1004.0,34.8,5.81,145.0,32.9,24.2,8.3
Wheat,Whole Year,Tamil Nadu,18.7,901.2,31.4,7.99,58.3,23.0,31.1,4.97
Wheat,Rabi,Andhra Pradesh,21.7,365.0,27.6,7.24,44.7,55.9,50.6,8.31
Wheat,Kharif,Karnataka,9.7,836.7,32.8,5.07,155.7,60.4,78.1,9.58
Wheat,Whole Year,Punjab,23.0,805.2,22.6,6.23,113.1,67.5,82.7,17.76
Wheat,Kharif,Kerala,21.6,602.8,34.4,6.26,157.1,34.2,21.8,14.28
Wheat,Rabi,Maharashtra,6.0,961.5,34.5,7.02,144.3,72.5,45.5,9.82
Wheat,Rabi,Haryana,12.3,620.3,33.1,7.3,144.0,76.5,76.8,14.44
Wheat,Kharif,Kerala,9.4,755.5,32.6,7.36,88.9,17.1,18.9,8.62
Wheat,Rabi,Madhya Pradesh,20.0,422.3,25.2,7.01,70.8,21.2,26.8,9.39
Wheat,Kharif,Madhya Pradesh,21.3,815.3,32.3,6.02,92.2,70.1,34.6,11.36
Wheat,Rabi,Tamil Nadu,5.8,621.4,21.3,7.8,152.8,81.3,31.8,20.06
Wheat,Whole Year,Kerala,15.7,488.5,19.6,6.48,64.0,78.9,18.7,18.17
Wheat,Rabi,Gujarat,4.6,1010.0,21.1,6.82,31.8,54.4,73.0,14.8
Wheat,Rabi,Madhya Pradesh,3.8,835.2,21.4,7.76,131.7,36.6,52.1,14.81
Wheat,Whole Year,Maharashtra,6.2,914.2,31.1,5.61,53.4,74.4,17.2,7.03
Wheat,Whole Year,Maharashtra,11.8,502.5,28.5,7.07,41.1,50.2,80.4,12.87
Wheat,Whole Year,Andhra Pradesh,6.1,599.2,25.6,6.91,39.5,56.8,18.9,11.99
Wheat,Rabi,West Bengal,24.9,996.6,35.4,6.91,127.3,18.4,34.0,10.1
Wheat,Rabi,Karnataka,17.1,419.6,34.1,5.13,53.3,27.7,52.0,6.1
Wheat,Kharif,West Bengal,3.2,832.8,25.8,5.83,70.7,88.4,52.4,12.93
Wheat,Whole Year,Karnataka,9.7,632.5,34.3,5.84,137.8,84.5,53.8,12.19
Wheat,Rabi,Uttar Pradesh,18.7,676.3,35.1,6.78,150.0,62.7,48.0,15.18
Wheat,Kharif,Punjab,5.4,661.2,20.9,6.49,45.1,82.1,52.1,22.69
Wheat,Rabi,Kerala,12.0,405.4,31.0,5.47,75.4,30.3,36.3,6.9
Wheat,Rabi,Kerala,14.5,799.1,21.8,8.19,30.5,72.5,28.5,11.11
Wheat,Rabi,Maharashtra,17.2,959.5,18.5,7.18,118.5,44.6,59.3,16.85
Wheat,Kharif,Tamil Nadu,1.7,654.1,30.7,6.54,111.7,35.2,64.4,14.94
Wheat,Whole Year,Punjab,15.9,649.0,35.1,8.2,147.9,74.8,24.7,12.21
Wheat,Rabi,Madhya Pradesh,8.8,364.7,19.3,8.05,79.6,44.9,28.4,11.51
Wheat,Kharif,Andhra Pradesh,1.5,473.9,25.0,6.29,114.1,86.6,26.6,14.27
Wheat,Whole Year,Andhra Pradesh,20.4,546.7,30.3,5.42,116.5,77.4,53.4,10.31
Wheat,Rabi,Andhra Pradesh,7.4,754.2,19.6,6.35,77.9,29.0,62.3,18.02
Wheat,Rabi,Kerala,24.4,808.7,29.7,7.28,151.0,54.5,63.5,11.35
Wheat,Rabi,West Bengal,2.9,898.1,23.4,8.15,119.0,37.5,33.6,11.77
Wheat,Kharif,Gujarat,14.2,980.9,27.2,6.63,83.7,49.8,69.0,11.69
Wheat,Rabi,Tamil Nadu,15.1,874.6,18.3,7.37,90.2,74.0,78.2,15.4
Wheat,Whole Year,Andhra Pradesh,8.1,744.9,26.2,7.14,111.1,34.9,87.5,16.6
Wheat,Kharif,Uttar Pradesh,5.4,859.1,28.9,7.79,43.8,55.1,15.4,5.58
Wheat,Whole Year,Uttar Pradesh,12.5,819.6,33.6,8.09,108.2,51.5,61.4,10.26
Wheat,Whole Year,Tamil Nadu,17.2,818.6,25.1,5.97,46.3,16.0,23.4,5.66
Wheat,Kharif,Maharashtra,6.0,788.8,29.7,6.39,111.4,74.3,29.3,12.3
Wheat,Kharif,West Bengal,12.4,340.6,21.0,5.49,121.3,87.3,50.4,13.2
Wheat,Kharif,Gujarat,5.8,732.1,33.0,5.16,31.0,62.3,68.5,9.83
Wheat,Whole Year,West Bengal,14.9,847.7,36.0,5.12,82.0,53.5,69.3,9.85
Wheat,Kharif,West Bengal,18.1,702.7,25.6,6.01,38.3,82.0,46.3,13.3
Wheat,Whole Year,West Bengal,23.5,572.9,30.6,5.07,67.4,29.4,40.8,7.47
Wheat,Whole Year,Maharashtra,22.8,567.5,28.8,7.7,115.4,24.8,37.0,11.44
Wheat,Whole Year,Andhra Pradesh,16.7,582.6,26.5,8.11,51.1,30.5,66.8,8.94
Wheat,Kharif,West Bengal,5.2,436.8,26.9,7.54,152.6,52.0,32.6,11.57
Wheat,Rabi,Punjab,22.1,580.3,20.9,7.65,146.3,17.4,19.8,18.58
Wheat,Kharif,Gujarat,3.9,485.2,22.6,6.09,76.2,18.5,80.8,14.74
Wheat,Whole Year,Uttar Pradesh,22.0,757.1,19.9,5.16,153.0,74.9,87.2,17.75
Wheat,Whole Year,Haryana,15.6,938.7,19.8,6.8,95.9,27.5,23.9,14.35
Wheat,Kharif,Tamil Nadu,18.5,831.3,31.7,6.59,143.2,26.6,42.3,13.38
Wheat,Kharif,Haryana,11.5,622.3,31.8,5.79,135.2,40.6,52.9,11.19
Wheat,Whole Year,Tamil Nadu,19.1,582.9,30.0,5.49,128.0,46.6,32.1,11.27
Maize,Rabi,Andhra Pradesh,22.6,1315.0,27.3,7.18,152.7,48.2,72.8,16.9
Maize,Kharif,Kerala,3.0,719.3,35.7,5.53,38.0,71.9,64.5,12.73
Maize,Kharif,Gujarat,24.5,1341.3,32.4,7.8,156.4,46.4,81.4,9.79
Maize,Whole Year,Karnataka,18.8,1275.1,18.1,5.9,98.6,84.0,67.5,12.88
Maize,Whole Year,Maharashtra,16.0,1003.0,26.0,6.1,135.5,63.7,73.2,27.94
Maize,Kharif,Haryana,13.9,789.6,30.9,7.82,97.7,55.6,31.0,15.19
Maize,Whole Year,Karnataka,9.2,1019.4,18.4,7.85,100.2,34.4,77.4,13.79
Maize,Whole Year,Andhra Pradesh,3.7,481.0,24.7,7.01,76.1,18.6,63.8,15.92
Maize,Whole Year,Karnataka,18.7,848.7,35.7,7.58,158.6,57.4,82.1,15.63
Maize,Whole Year,Kerala,6.6,704.8,30.0,7.61,104.5,25.5,43.3,15.12
Maize,Rabi,Haryana,13.4,605.0,32.0,6.45,49.1,46.9,45.9,12.04
Maize,Kharif,Andhra Pradesh,12.4,842.2,24.6,6.68,106.5,53.9,44.6,31.33
Maize,Whole Year,West Bengal,11.2,836.5,34.8,6.57,156.5,76.8,25.8,19.2
Maize,Kharif,West Bengal,24.2,904.8,27.5,7.22,89.2,17.4,26.8,16.18
Maize,Whole Year,Haryana,21.5,528.2,24.7,5.93,98.0,23.8,37.9,17.29
Maize,Rabi,Karnataka,1.7,558.6,32.1,6.35,151.8,37.9,36.3,15.91
Maize,Kharif,West Bengal,3.9,751.0,33.7,6.34,104.5,57.4,82.5,19.43
Maize,Whole Year,West Bengal,21.0,549.2,20.5,7.04,129.0,65.0,26.2,18.58
Maize,Whole Year,Haryana,16.9,808.0,22.2,6.27,100.3,86.9,81.8,28.47
Maize,Kharif,Madhya Pradesh,21.8,1086.2,28.3,7.55,122.0,57.1,24.3,17.73
Maize,Whole Year,Maharashtra,14.0,1133.4,35.2,6.67,127.6,52.7,16.4,15.77
Maize,Kharif,Kerala,24.1,682.1,21.7,7.66,139.1,58.5,21.3,18.11
Maize,Rabi,Tamil Nadu,15.1,884.5,34.8,6.09,53.5,16.8,54.6,11.24
Maize,Kharif,Haryana,24.5,931.6,23.1,5.58,129.9,26.6,86.4,23.48
Maize,Whole Year,Punjab,24.1,594.7,30.8,5.95,42.8,25.7,82.0,12.4
Maize,Kharif,Haryana,5.9,1128.2,28.5,6.58,127.8,43.9,23.6,20.08
Maize,Whole Year,West Bengal,10.8,877.7,25.3,5.75,145.2,35.2,87.3,28.17
Maize,Whole Year,Maharashtra,16.6,542.4,28.2,6.43,140.0,52.5,73.7,20.66
Maize,Kharif,Kerala,19.8,927.6,25.6,7.92,88.7,15.1,49.8,18.04
Maize,Whole Year,Karnataka,24.3,425.5,34.8,6.54,107.7,78.0,43.5,13.54
Maize,Kharif,Madhya Pradesh,15.0,902.2,18.8,7.37,103.2,37.5,44.6,15.78
Maize,Whole Year,Uttar Pradesh,14.4,686.3,25.8,6.95,154.5,38.9,66.2,25.34
Maize,Whole Year,Karnataka,11.9,654.9,35.7,6.09,89.8,60.0,16.2,13.66
Maize,Kharif,Madhya Pradesh,15.6,429.0,18.2,5.56,102.3,67.2,51.7,11.63
Maize,Whole Year,Haryana,16.6,928.6,34.1,7.61,87.9,24.3,87.9,13.96
Maize,Rabi,Gujarat,10.3,1209.6,32.6,8.15,46.2,42.8,29.5,5.95
Maize,Rabi,Punjab,17.3,1088.1,21.4,7.61,111.3,75.6,31.6,18.16
Maize,Kharif,Tamil Nadu,7.7,1270.7,30.7,5.67,55.5,76.6,44.7,12.44
Maize,Whole Year,Gujarat,12.9,940.9,29.9,6.81,118.7,57.4,19.9,20.87
Maize,Kharif,Haryana,7.2,957.9,22.1,6.67,131.7,29.4,65.8,28.29
Maize,Whole Year,Madhya Pradesh,15.7,1061.4,33.9,5.01,85.5,65.5,63.8,12.96
Maize,Rabi,Tamil Nadu,21.3,805.4,20.2,6.66,94.4,53.8,18.3,21.24
Maize,Rabi,Punjab,23.0,922.8,23.7,6.25,73.5,81.0,75.6,31.2
Maize,Whole Year,Maharashtra,11.2,494.6,22.5,5.53,70.4,61.9,22.3,12.89
Maize,Whole Year,Punjab,20.1,1299.3,33.1,5.79,91.6,86.9,77.4,11.76
Maize,Kharif,Kerala,23.6,1150.3,29.2,7.45,111.3,58.4,21.4,14.32
Maize,Rabi,Punjab,8.5,1217.6,19.2,5.41,149.5,48.1,37.6,13.13
Maize,Kharif,Haryana,17.3,947.9,23.3,6.22,42.5,71.4,32.5,20.45
Maize,Whole Year,Madhya Pradesh,1.3,784.0,32.3,7.82,110.5,40.5,85.3,15.42
Maize,Whole Year,West Bengal,8.9,605.0,19.8,6.9,38.8,74.2,29.5,13.57
Maize,Whole Year,Madhya Pradesh,7.2,818.6,31.0,6.42,61.6,74.8,19.5,17.7
Maize,Whole Year,Andhra Pradesh,24.0,1130.3,23.6,7.83,130.8,26.1,38.2,16.9
Maize,Kharif,Tamil Nadu,13.4,1039.9,20.6,5.76,136.5,57.0,19.1,18.46
Maize,Whole Year,Maharashtra,22.8,1159.2,24.1,7.14,120.3,88.6,60.0,20.69
Maize,Whole Year,Gujarat,24.1,1001.1,25.5,5.52,89.1,74.2,18.2,19.68
Maize,Whole Year,Punjab,6.4,640.3,29.2,5.76,125.5,86.4,39.9,19.55
Maize,Rabi,Maharashtra,5.4,1350.5,24.5,5.24,33.9,23.6,36.8,6.51
Maize,Rabi,Gujarat,2.1,452.8,21.6,5.56,145.1,68.9,40.5,15.43
Maize,Kharif,Uttar Pradesh,1.5,1213.1,34.4,5.07,118.1,43.4,74.1,9.86
Maize,Rabi,Maharashtra,11.9,770.6,24.7,5.55,98.5,74.9,61.7,24.39
Cotton,Kharif,Haryana,4.5,1137.4,32.3,5.61,79.2,43.1,60.0,5.48
Cotton,Kharif,Maharashtra,19.3,859.5,33.4,5.94,49.3,33.5,62.2,5.2
Cotton,Whole Year,Uttar Pradesh,24.2,1105.8,21.8,5.26,91.2,64.8,19.9,5.92
Cotton,Whole Year,Madhya Pradesh,10.0,803.1,21.2,7.28,98.3,51.2,86.7,13.41
Cotton,Rabi,Gujarat,16.3,1027.3,29.7,5.66,146.3,48.9,32.6,8.21
Cotton,Rabi,Andhra Pradesh,14.7,1146.8,24.7,6.76,47.5,21.3,48.3,5.78
Cotton,Kharif,Gujarat,12.2,887.4,25.7,6.5,83.2,75.3,38.8,13.02
Cotton,Rabi,Uttar Pradesh,6.6,907.4,24.5,5.26,139.5,53.5,63.3,11.65
Cotton,Kharif,Maharashtra,3.8,672.2,27.8,6.07,117.8,33.8,70.9,13.41
Cotton,Kharif,Karnataka,17.9,1198.3,36.0,7.41,126.2,83.4,15.6,6.27
Cotton,Rabi,Tamil Nadu,23.7,1053.0,31.6,5.04,115.0,89.2,86.4,7.8
Cotton,Kharif,Maharashtra,18.4,548.1,22.2,6.88,101.8,50.2,76.1,12.57
Cotton,Rabi,Haryana,21.3,728.8,35.0,6.34,87.0,79.0,17.3,7.55
Cotton,Rabi,Uttar Pradesh,23.6,383.0,32.6,7.67,74.2,46.4,66.4,6.15
Cotton,Rabi,Kerala,8.8,394.2,32.1,7.95,50.0,86.4,39.8,5.79
Cotton,Whole Year,Gujarat,14.8,697.5,24.9,8.04,38.3,44.0,50.6,7.66
Cotton,Whole Year,West Bengal,22.5,451.9,19.9,6.77,34.2,66.7,51.6,6.2
Cotton,Rabi,Haryana,7.8,567.3,29.9,5.22,37.5,53.9,27.9,5.29
Cotton,Rabi,Andhra Pradesh,4.8,466.4,27.7,6.53,38.9,86.6,79.9,10.37
Cotton,Rabi,Maharashtra,11.4,960.5,26.5,6.93,152.1,59.1,52.7,16.03
Cotton,Kharif,Karnataka,1.2,492.7,19.2,6.28,135.0,54.4,83.3,8.85
Cotton,Rabi,West Bengal,14.8,983.3,23.2,7.82,89.3,67.5,68.4,10.49
Cotton,Kharif,Gujarat,11.0,523.2,29.1,6.38,80.0,64.4,67.4,10.04
Cotton,Kharif,Punjab,22.3,505.3,33.9,6.72,116.7,20.0,69.5,8.59
Cotton,Rabi,West Bengal,24.8,831.1,35.9,5.24,43.7,72.5,39.5,5.35
Cotton,Kharif,Karnataka,13.1,756.3,19.3,7.22,127.5,43.6,70.9,13.21
Cotton,Kharif,Andhra Pradesh,1.3,469.6,34.5,6.05,127.3,51.4,20.1,6.12
Cotton,Whole Year,Maharashtra,23.8,490.7,32.8,7.69,52.2,16.4,22.5,3.29
Cotton,Whole Year,Kerala,10.4,439.0,31.7,7.17,50.0,41.9,31.3,5.02
Cotton,Whole Year,Madhya Pradesh,6.2,949.8,33.1,7.6,113.3,68.7,82.3,8.86
Cotton,Rabi,Karnataka,2.3,378.8,31.9,7.45,150.7,43.1,32.9,7.84
Cotton,Kharif,Andhra Pradesh,24.7,653.1,21.5,7.14,58.7,81.2,74.8,13.73
Cotton,Whole Year,Uttar Pradesh,5.0,717.9,19.9,6.05,103.1,29.2,30.5,7.5
Cotton,Kharif,Andhra Pradesh,6.6,462.4,23.8,5.05,115.0,15.9,31.0,6.37
Cotton,Rabi,Madhya Pradesh,16.6,679.4,19.2,5.7,69.2,59.9,88.7,7.85
Cotton,Whole Year,Kerala,5.1,1166.2,28.8,8.14,120.5,65.8,87.9,7.99
Cotton,Kharif,Tamil Nadu,16.2,1104.3,23.7,7.72,92.7,40.1,60.6,8.66
Cotton,Whole Year,Andhra Pradesh,16.4,566.8,28.6,8.16,60.2,61.2,82.3,9.08
Cotton,Kharif,Andhra Pradesh,15.9,424.4,24.7,5.95,49.7,30.3,17.8,4.55
Cotton,Rabi,Gujarat,18.7,646.2,23.0,7.06,128.9,54.1,88.3,15.56
Cotton,Kharif,Karnataka,6.5,979.6,24.2,5.66,37.0,83.8,89.1,9.92
Cotton,Whole Year,Maharashtra,21.9,805.2,21.3,7.02,38.4,51.9,86.5,10.56
Cotton,Kharif,Uttar Pradesh,4.0,518.3,27.9,7.54,56.6,53.1,47.0,8.61
Cotton,Whole Year,Uttar Pradesh,5.7,724.8,28.9,5.97,104.9,87.6,30.1,12.99
Cotton,Kharif,West Bengal,23.8,671.7,24.8,6.51,85.0,60.7,47.5,12.45
Cotton,Kharif,West Bengal,19.3,727.6,19.5,7.9,69.0,55.3,56.5,7.81
Cotton,Rabi,Andhra Pradesh,8.3,608.7,28.1,6.54,73.3,68.6,29.7,11.27
Cotton,Kharif,Punjab,21.7,977.6,24.7,6.29,84.1,44.6,70.7,10.67
Cotton,Whole Year,Karnataka,24.7,433.8,33.9,8.18,46.2,84.9,27.2,4.5
Cotton,Whole Year,Karnataka,9.4,960.0,29.4,6.18,37.5,43.9,46.8,5.87
Cotton,Kharif,West Bengal,23.1,673.2,30.7,5.09,116.5,26.1,60.4,9.64
Cotton,Rabi,Uttar Pradesh,6.9,852.1,29.9,5.52,45.2,21.9,68.4,6.06
Cotton,Kharif,Gujarat,13.4,530.8,25.6,7.66,62.9,37.7,87.6,11.3
Cotton,Whole Year,Andhra Pradesh,8.4,714.6,33.8,7.33,41.6,62.7,73.3,8.34
Cotton,Rabi,Uttar Pradesh,19.0,1142.3,25.2,5.99,158.3,76.2,15.1,8.7
Cotton,Whole Year,Andhra Pradesh,11.0,612.9,25.8,5.56,54.2,25.1,51.5,7.08
Cotton,Rabi,Haryana,14.6,550.4,21.6,7.4,135.2,29.4,88.7,12.24
Cotton,Whole Year,West Bengal,22.9,465.1,29.5,5.26,41.1,24.4,19.8,3.02
Cotton,Rabi,Maharashtra,12.6,1002.4,18.2,5.85,154.2,64.9,74.2,6.25
Cotton,Whole Year,Maharashtra,20.0,684.9,27.4,8.08,64.6,51.4,71.8,10.86
